can we do smash using this bat	Yes.
which colors are available now?	Black
is this all blue? 	Different colors are sent as per stock availability.
Doe the Tap support Messaging and Calling?	It does. You would need to add the members to your tap to be able to communicate to them via a command.
Os it ok to use the power adapter to charge a phone or tablet?	With all electronics you need to compare the output of the device you want to use to the one that came standard. they need to be close. All are labeled. tap puts out 5.2 volts at 1.8 amps.
How can I voice activeate without pressing the button?	The instructions are in your manual. You need to go to the Alexa App, in the tools section, and "enable hands free" voice activation.
can you stream pandora on tap?	Yes! Pandora is the only station I listen to!!so not sure anything smaller would stay locked in, but would be close.
Will this is work in egypt?	Depends on what you mean "work". Almost all of its features will work, including time zone and even weather if play with it a bit. 
How can I change my shipping address?	By default, the last used shipping address will be saved into to your Amazon account. When you are checking out your order, the default shipping address will be displayed and you have the option to amend it if you need to.
How do I activate my account?	The instructions to activate your account will be sent to your email once you have submitted the registration form. If you did not receive this email, your email service provider’s mailing software may be blocking it. You can try checking your junk / spam folder or contact us at help@amazon.com
What do you mean by points? How do I earn it?	Because you are important to us, we want to know what you think about the products. As an added value, every time you rate the products you earn points which go straight to your account. 1 point are added to your account for every review that you give. You will need those points in order to redeem the sample products. So keep rating the products to keep earning points!
Why is there a checkout limit? / What are all the checkout limits?	Hi. These limits are in place to make sure everyone has a good time trying and purchasing their products.
How can I track my orders & payment?	After logging into your account, the status of your checkout history can be found under Order History. For orders via registered postage, a tracking number (article tracking number) will be given to you after the receipt given from USA Post.
How do I cancel my orders before I make a payment?	Members who ship their orders within Singapore should expect to receive their orders within five (5) to ten (10) working days upon payment verification depending on the volume of orders received.
How long will it take for my order to arrive after I make payment?	18 inches on our TV.
What is the accumulated delivery fee for? How much is the handling fee?	The flat-rate handling fee is S$5.99 and it is only applicable to normal samples. For free samples, they are fully paid for and there are no additional charges to deliver the free samples.
How do you ship my orders?	All your orders are sent via USA Post Limited.
How do I make payments using Paypal? How does it work?	Paypal is the easiest way to make payments online. While checking out your order, you will be redirected to the Paypal website. Be sure to fill in correct details for fast & hassle-free payment processing.
What are the payment methods available?	At the moment, we only accept Credit/Debit cards and Paypal payments.
Can I pay using Paypal without a Paypal account?	Yes! It is commonly misunderstood that a Paypal account is needed in order to make payments through Paypal. The truth is you DO NOT need one, although we strongly recommend you sign up to enjoy the added ease of use.
How can I use my remaining Account Credits?	We are in the process of removing the option to pay for your orders by ‘Account Credits’. If you have remaining credits in your account, it will be used to pay for your next checkout. If there are insufficient credits, the system will direct you automatically to pay the balance via Paypal.
Why must I make payment immediately at checkout?	Sample ordering is on ‘first-come-first-served’ basis. To ensure that you get your desired samples, it is recommended that you make your payment within 60 minutes of checking out. 
How many free samples can I redeem?	Due to the limited quantity, each member's account is only entitled to 1 unique free sample. You can check out up to 4 free samples in each checkout.
